ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
mn75mKUExGg,UC-F3kTU4V680v550AavEOsQ,2024-10-28,22
8ouu2DE6J_s,UCFN4JkGP_bVhAdBsoV9xftA,2024-10-31,17
I4BYYKOpMa0,UCdEczn3MVkx_4PnMZ10MVFA,2024-10-30,2
ecLUCPhKKxs,UCaoTOpfjVfdm_XlYvwbVicQ,2024-10-27,17
dBRFH7MgWis,UCGTKwjs1ctvgwCRa67RNO-Q,2024-10-27,24
eknj5_0tF2s,UCuPivVjnfNo4mb3Oog_frZg,2024-10-29,1
xfPKwJ7Qukc,UC2C_jShtL725hvbm1arSV9w,2024-10-29,25
f5-h2EjrIPE,UCYI0jaSzd7aLRj7KCGHkz3g,2024-10-29,2
BBWL2uVqcW4,UCdJdEguB1F1CiYe7OEi3SBg,2024-10-29,23
lWLp_ptADNU,UCBrMq7wkdPWb3PxR-GUR61A,2024-10-31,20
ym_a6M7ZElo,UC_q5WZtFp36adwqhKpZzxwQ,2024-11-02,20
F_7IPm7f1vI,UC7vVhkEfw4nOGp8TyDk7RcQ,2024-10-30,28
IXtSluGSteU,UCiGnwS3OVEuqbc78ELEFDeQ,2024-10-29,20
m2mH4480dqU,UCXzrxvm0Jqq1OpSZQhT6lEQ,2024-10-29,17
t6ukMUq-iQQ,UC9YydG57epLqxA9cTzZXSeQ,2024-10-29,20
T3rnBuSTNhY,UCZtjRzC4fFimZ2Y-nhn8Cig,2024-10-30,10
jZW2GnEcjpM,UCZtjRzC4fFimZ2Y-nhn8Cig,2024-10-30,10
tRh5pIokod0,UCwM8W2IEsCLRQWc6krOlRVw,2024-10-30,23
Pwwl-MwJLxQ,UC9OucCej3Rx7tS3O7df4ReA,2024-10-29,20
QGY-YUkN2Nc,UCqTYHSnBUXZamsVcOlQf-fg,2024-10-30,24
-mPL6eZN8jw,UCrZEL4o7SYy8-FoYyvh7pJg,2024-10-23,15
b1sYvU5saZo,UCRE2zmVNW9wG2dndMoV4JKQ,2024-10-27,24
ZC-egC-ElAU,UCooVYzDxdwTtGYAkcPmOgOw,2024-10-28,20
6vGMPjmlHKQ,UCET00YnetHT7tOpu12v8jxg,2024-10-28,17
BZ6mmUijhCE,UCR9Gcq0CMm6YgTzsDxAxjOQ,2024-10-26,20
BqPNB9Vxl_w,UCooVYzDxdwTtGYAkcPmOgOw,2024-10-30,20
IIRHCfvnUyU,UC2Qw1dzXDBAZPwS7zm37g8g,2024-10-29,10
MesWtDPzFLA,UCBJeMCIeLQos7wacox4hmLQ,2024-10-27,17
ujfC0NgdU48,UCxoz4YfS4M3H3C57FD4jW4Q,2024-10-26,28
UjRikc_ldIQ,UCsSsgPaZ2GSmO6il8Cb5iGA,2024-10-26,24
i3h7pO6xLAM,UCmXH6CX_juGwNFTj3PESdoA,2024-10-28,20
4XxnTAwyxus,UCV4UK9LNNLViFP4qZA_Wmfw,2024-10-30,10
Twn_4AW0M6U,UCY1kMZp36IQSyNx_9h4mpCg,2024-11-02,28
JObxd5s-uqQ,UCnnrLDosqnpRPQ_TH3uXnnQ,2024-10-28,24
iNSPFb5AIz8,UCzH3H8sRfqH3rEVZcpTV2Cw,2024-10-26,20
8Ebqe2Dbzls,UCoUM-UJ7rirJYP8CQ0EIaHA,2024-10-24,10
T_UMKggEkUI,UCpx2BZg8ABgaDV50sGJtWAg,2024-11-01,20
ZWDoUsxpkKE,UCo1DYcm1IZ9v3UPkpiAcgtg,2024-10-28,10
JwHDwOVkRXU,UCt9nYeSz90lnOnaVFjxFJzw,2024-11-02,20
TtFm9n3NVzE,UCE_M8A5yxnLfW0KghEeajjw,2024-10-29,28
tI9dwinLua0,UCzH3H8sRfqH3rEVZcpTV2Cw,2024-10-26,20
queBWT_e10o,UClYV6hHlupm_S_ObS1W-DYw,2024-10-31,10
GsvxsV0CPz0,UC3L9XPe0_FGfRG-CMGtBvFg,2024-10-27,17
QlPsuIkg6k0,UCDVYQ4Zhbm3S2dlz7P1GBDg,2024-11-01,17
DIWsSpvHj8o,UCooVYzDxdwTtGYAkcPmOgOw,2024-10-26,20
kBC211AsHZs,UCIVSqoHCUN1XdEpiVItxfoQ,2024-10-27,20
OqQOkUzQDWY,UCpi8TJfiA4lKGkaXs__YdBA,2024-10-30,23
B0kJ5Kxqm14,UCtylTUUVIGY_i5afsQYeBZA,2024-10-30,10
HsFBftgYDuY,UCAND1td-OhOUbi7S1EnRWzg,2024-10-27,17
K4fO-fBajD4,UCsAPiUMyBjtKamxYGbSUnLA,2024-10-26,17
eC77RIAsAuc,UCaUeobrwnhpLJHqs92_JRGg,2024-10-27,23
HfN67NC1AVw,UCQ9HvHH-KRYHI5ynj2kbLwQ,2024-10-28,1
etsXknHtGUs,UCg3gzldyhCHJjY7AWWTNPPA,2024-10-23,24
uBq_g2XQ52g,UCsDUx3IrrXQI0CbfKMxTCww,2024-10-27,24
hnBXXFW9KQw,UCzcaZfAmCJlCSoBOiNWx20Q,2024-10-31,17
67eiQYXzbjs,UCquKkmifC6eDU-bbKxqjJgw,2024-10-29,20
